Feature,IV,IV_Label,Monotonicity,Mono_Strength,Chi2_pvalue,Recommendation
checking_status,0.5873,suspicious,non-monotonic,0.8,0.0,Investigate
credit_history,0.3714,strong,non-monotonic,0.4,0.0,Accept
purpose,0.2299,medium,non-monotonic,0.636,0.0001,Accept
savings_status,0.1629,medium,non-monotonic,0.3,0.0004,Accept
credit_amount,0.1561,medium,non-monotonic,0.316,0.0,Accept
duration,0.1513,medium,decreasing,1.0,0.0,Accept
property_magnitude,0.1458,medium,non-monotonic,0.2,0.0001,Accept
housing,0.11,medium,non-monotonic,0.5,0.0002,Accept
age,0.1073,medium,increasing,1.0,0.0014,Accept
employment,0.0662,weak,non-monotonic,0.1,0.046,Accept
personal_status,0.0459,weak,increasing,1.0,0.0769,Accept
foreign_worker,0.0435,weak,single_bin,1.0,0.0504,Accept
other_payment_plans,0.0345,weak,non-monotonic,0.5,0.0695,Accept
other_parties,0.012,useless,non-monotonic,0.5,0.4265,Reject
installment_commitment,0.0108,useless,decreasing,1.0,0.4529,Reject
job,0.0099,useless,non-monotonic,0.8,0.6875,Reject
own_telephone,0.0062,useless,single_bin,1.0,0.3871,Reject
existing_credits,0.0031,useless,single_bin,1.0,0.6678,Reject
residence_since,0.0009,useless,non-monotonic,0.5,0.9374,Reject
num_dependents,0.0,useless,single_bin,1.0,1.0,Reject
